Address,Owner,DeFi,Inc. Eligible,Balance,Voting %,Blocks (All time),Ⱥ Payouts (All),Blocks (Last 100K),Ⱥ Payouts (100K),Blocks (Last 1M),Ⱥ Payouts (1M),Update Round,First Valid,Last Valid,Est. Expiration,Key Dilution
2R5FTTVDIAQ55I5SPW5BE6R2SVYY45O5W64XGIVBLHQYWMZARRXTO4VIHQ,,No,true,69632913.782891,3.590645135646817,217191,2054539.760495,3670,33652.921823,36751,337750.598384,55807378,48351770,59574545,2026-03-26T17:18:21.000Z,3351
U5P6Q4YYAEZPRUJZNKGOIICBO7CYZVD5EDRMGE35G2D35IULQYWGWN3GCU,,No,true,69587854.858806,3.588321656737292,326200,3094247.115052,3597,32974.986357,36461,335050.419638,55807365,55692812,55909627,2025-11-26T06:42:35.000Z,466
QNGQXHUFFMY6KOXBBJFYQHV6BN52YUANDRHPV4EMNANJJRPGMSR6M3GXQE,,No,true,68858570.172823,3.550715841211733,104332,969197.940059,3727,34159.86553,35858,329505.08983,55807367,55633172,55845972,2025-11-24T04:30:13.000Z,462
FKDXPRVUHAJKVDDAROMO4W3P256I46Y5J3LYPK3COYEBXRJEETB27DZZMA,,No,true,67877051.204707,3.500103478222024,163888,1251072.547655,3544,32496.791456,35826,329248.311112,55807392,55679042,55895857,2025-11-25T19:50:57.000Z,466
NYMNQ7BFWNKTNJE6U6EGTNSBQIAAERDRHD3VIEINQYFHGSMJXE7CIP6GI4,,No,true,67276901.147164,3.46915653420222,207823,1960144.511522,3607,33063.662744,34162,313899.033313,55807380,55739493,55960477,2025-11-27T22:48:58.000Z,471
644QQ67PMAIWVZ4VKV6A5GNGWHF3YO5YCDRJA5ABS4ECQ75RZBEUGSDNTY,,No,true,58675857.955173,3.0256407853840406,151519,1413457.060468,3046,27917.852374,31067,285493.096596,55807381,55679038,55895853,2025-11-25T19:50:45.000Z,466
MKZIWVBDBZV7UK6XQY3DFLYSBLSJWCDHDJWK3JAHWCFMNJOH4ZXQSMOUCE,Foundation: Ecosystem Support 67,No,true,52669316.138508,2.715911391848788,777982,246963.684985,2756,25262.963398,27495,246963.684985,55807361,54807487,58880574,2026-03-03T21:57:24.000Z,2019
4TPMQLUIBMQ6ILR4FSBEWJACEOYJVYZ7PWL333KL47DHVT6TJHH55E5WWE,,No,true,48031551.605301,2.476763469454556,209432,1812668.613249,2547,23349.585823,24399,224243.050906,55807389,55645788,58645788,2026-02-24T04:46:34.000Z,1733
EYNLSXSZFXDQBBJ7AQX35SVU6YSMINGLFZTOUOK7EYZIWG7AICHFVW5QPI,,No,true,48031551.57529,2.4767634679070287,191253,1819650.620359,2446,22420.901313,24751,227431.381039,55807395,53764935,56824935,2025-12-26T08:37:55.000Z,1750
VVU2LEKHHCF2PACOOIMSH6WY6AM5XMFWZRGWVHR65CILVVS6F4PHNIH35Y,,No,true,48031542.426865,2.4767629961653483,209660,1817799.78281,2538,23274.898273,24972,229496.507773,55807360,53764935,56864935,2025-12-27T16:10:51.000Z,1761
3YIIMZRD4UVBXWQKCROQW5KRWGS6KPK6F6C2B6GYGANPMBLGJ5HYOQVP4E,,No,true,48031533.305969,2.476762525843211,190978,1817890.999275,2593,23767.840053,24934,229134.85681,55807321,55091825,64091825,2026-08-22T04:10:38.000Z,10000
H4PFJ2T5FSYKIQYJ6YZG5XE7B4X2TKHUDZRBDJXNEHCUMAGTKYLW5Y6XHQ,,No,true,48031533.271945,2.476762524088752,190331,1811532.769275,2501,22923.794643,24639,226417.113309,55807369,53764935,56844935,2025-12-27T00:24:23.000Z,1755
