round,proposals,soft_votes,cert_votes,next_votes,pipelined_soft_votes,pipelined_cert_votes,obsolete_votes,round_duration_ms,in_peers,out_peers,bundle_votes
55832553,0,152,155,0,0,0,0,34,0,22,131
55832554,6,346,181,0,0,0,337,4103,0,27,134
55832555,8,290,152,0,0,0,0,1348,0,27,152
55832556,6,305,139,0,0,0,393,2754,0,27,109
55832557,5,355,185,0,0,0,374,3154,0,38,168
55832558,4,312,146,0,0,0,443,2716,0,38,131
55832559,8,265,126,0,0,0,390,2493,0,38,126
55832560,5,306,141,0,0,0,376,2879,0,43,131
55832561,6,300,166,0,0,0,425,2960,0,44,166
55832562,7,289,159,0,0,0,422,2640,0,44,142
55832563,8,301,134,0,0,0,402,2852,0,44,97
55832564,9,293,142,0,0,0,468,2838,0,45,110
55832565,4,272,156,0,0,0,901,2651,0,45,111
55832566,6,299,119,0,0,0,372,2679,0,45,117
55832567,7,324,139,0,0,0,382,2858,0,46,129
55832568,6,279,142,0,0,0,420,2822,0,48,141
55832569,6,277,130,0,0,0,384,2644,0,48,130
55832570,7,302,124,0,0,0,380,2925,0,48,121
55832571,7,304,159,0,0,0,408,2767,0,49,129
55832572,6,321,147,0,0,0,498,2716,0,49,118
55832573,7,309,139,0,0,0,423,2787,0,49,139
55832574,5,286,151,0,0,0,398,2781,0,49,120
55832575,6,306,157,0,0,0,396,2885,0,52,157
55832576,8,320,138,0,0,0,399,2844,0,52,138
55832577,5,313,182,0,0,0,422,2763,0,52,168
55832578,8,309,148,0,0,0,418,2799,0,52,145
55832579,6,274,133,0,0,0,412,2678,0,52,133
55832580,7,308,138,0,0,0,374,2773,0,52,107
55832581,9,288,119,0,0,0,401,2646,0,52,108
55832582,5,317,124,0,0,0,382,2948,0,52,92
55832583,8,308,150,0,0,0,403,2850,0,52,101
55832584,7,331,170,0,0,0,397,2910,0,52,168
55832585,7,304,138,0,0,0,406,2563,0,52,107
55832586,8,284,108,0,0,0,412,2698,0,52,107
55832587,6,294,141,0,0,0,397,2900,0,52,141
55832588,9,277,130,0,0,0,407,2589,0,52,115
55832589,5,305,148,0,0,0,397,2885,0,52,135
