phase,metric,description,count,mean,p50,p90,p95,p99,min,max
soft,unique_on,Unique/Expected (on_time),32531,0.8711401653499738,0.873424,0.93561,0.952569,0.983662,0.624682,1.407654
soft,unique_total,Unique/Expected (total),32531,1.3462778712305186,1.345469,1.410481,1.430267,1.475493,0.867771,3.434338
soft,msg_on,Messages/Expected (on_time),32531,0.8711687521133687,0.873424,0.93561,0.952569,0.983662,0.624682,1.885352
soft,msg_total,Messages/Expected (total),32531,1.7912744216900802,1.792074,1.879699,1.905139,1.967324,0.867771,4.259709
soft,dup_total,Duplication factor (total),32531,1.330613960253297,1.330629,1.355319,1.362235,1.37605,1.0,1.623028
cert,unique_on,Unique/Expected (on_time),32531,0.6271544531370078,0.632231,0.72255,0.744054,0.791364,0.33977,0.937594
cert,unique_total,Unique/Expected (total),32531,1.156962606836556,1.156939,1.260161,1.290267,1.359081,0.649434,3.453615
cert,msg_on,Messages/Expected (on_time),32531,0.6271544531370078,0.632231,0.72255,0.744054,0.791364,0.33977,0.937594
cert,msg_total,Messages/Expected (total),32531,1.4621923011896345,1.462303,1.59563,1.634338,1.711754,0.649434,3.879403
cert,dup_total,Duplication factor (total),32531,1.2640495555009068,1.26378,1.293651,1.302239,1.318725,1.0,1.361233
