round,proposals,soft_votes,cert_votes,next_votes,pipelined_soft_votes,pipelined_cert_votes,late_soft_votes,late_cert_votes,late_next_votes,soft_unique_senders,cert_unique_senders,soft_total_unique_senders,cert_total_unique_senders,soft_periods,cert_periods,round_duration_ms,in_peers,out_peers,bundle_votes
55874383,6,328,157,0,0,0,324,178,0,328,157,487,267,1,1,2977,0,24,149
55874384,3,329,128,0,0,0,337,187,0,329,128,488,246,1,1,2663,0,24,128
55874385,6,297,136,0,0,0,346,198,0,297,136,483,255,1,1,2937,0,32,136
55874386,5,323,150,0,0,0,316,184,0,323,150,484,261,1,1,2943,0,38,136
55874387,2,316,129,0,0,0,328,209,0,316,129,481,270,1,1,2632,0,38,108
55874388,2,340,129,0,0,0,328,209,0,340,129,494,271,1,1,2879,0,38,123
55874389,4,317,153,0,0,0,373,201,0,317,153,512,282,1,1,2998,0,47,151
55874390,3,311,125,0,0,0,331,221,0,311,125,488,281,1,1,2836,0,47,125
55874391,6,354,135,0,0,0,334,198,0,354,135,510,270,1,1,2726,0,47,134
55874392,5,323,142,0,0,0,369,198,0,323,142,511,275,1,1,2853,0,47,140
55874393,9,341,129,0,0,0,345,187,0,341,129,508,256,1,1,2646,0,46,128
55874394,9,314,133,0,0,0,357,186,0,314,133,496,259,1,1,2924,0,46,132
55874395,11,302,116,0,0,0,337,172,0,302,116,480,228,1,1,2757,0,46,116
55874396,6,339,130,0,0,0,335,178,0,339,130,513,241,1,1,2830,0,46,103
55874397,8,310,121,0,0,0,366,183,0,310,121,509,248,1,1,2815,0,46,113
55874398,9,312,132,0,0,0,332,179,0,312,132,483,250,1,1,2761,0,46,117
55874399,7,311,135,0,0,0,330,198,0,311,135,482,266,1,1,2715,0,46,135
55874400,4,337,148,0,0,0,328,189,0,337,148,502,262,1,1,3044,0,46,100
55874401,10,325,128,0,0,0,356,191,0,325,128,516,251,1,1,2643,0,46,128
55874402,6,306,123,0,0,0,340,187,0,306,123,485,243,1,1,2708,0,46,104
55874403,8,298,138,0,0,0,317,178,0,298,138,466,250,1,1,2861,0,46,138
55874404,7,299,130,0,0,0,328,207,0,299,130,480,273,1,1,2682,0,46,119
55874405,4,286,124,0,0,0,328,194,0,286,124,460,252,1,1,2794,0,46,92
55874406,7,318,144,0,0,0,311,184,0,318,144,475,258,1,1,2804,0,46,136
55874407,6,287,111,0,0,0,340,186,0,287,111,474,240,1,1,2758,0,46,111
55874408,7,306,130,0,0,0,309,193,0,306,130,464,258,1,1,2985,0,46,119
55874409,6,319,127,0,0,0,324,191,0,319,127,491,260,1,1,2702,0,46,109
55874410,7,305,117,0,0,0,339,171,0,305,117,489,224,1,1,2806,0,46,115
55874411,9,314,118,0,0,0,328,197,0,314,118,499,249,1,1,2752,0,46,111
55874412,6,329,145,0,0,0,333,184,0,329,145,496,264,1,1,2809,0,46,143
55874413,4,315,127,0,0,0,349,210,0,315,127,499,273,1,1,2707,0,46,90
55874414,6,321,136,0,0,0,333,198,0,321,136,500,263,1,1,3101,0,57,136
55874415,8,323,141,0,0,0,333,193,0,323,141,482,265,1,1,2799,0,57,129
55874416,8,312,140,0,0,0,337,193,0,312,140,484,267,1,1,2806,0,57,136
55874417,7,311,116,0,0,0,327,198,0,311,116,481,258,1,1,2673,0,58,115
55874418,7,309,133,0,0,0,334,185,0,309,133,484,255,1,1,2816,0,58,133
55874419,2,336,148,0,0,0,321,199,0,336,148,495,278,1,1,2901,0,58,126
55874420,5,321,149,0,0,0,350,198,0,321,149,508,273,1,1,2822,0,58,144
55874421,6,320,154,0,0,0,336,207,0,320,154,496,280,1,1,2882,0,57,149
55874422,5,291,132,0,0,0,337,201,0,291,132,484,265,1,1,2715,0,57,117
55874423,9,340,132,0,0,0,311,198,0,340,132,486,260,1,1,2726,0,57,123
55874424,8,301,126,0,0,0,356,203,0,301,126,502,265,1,1,2802,0,57,106
55874425,6,302,154,0,0,0,337,190,0,302,154,504,270,1,1,2932,0,57,154
