round,proposals,soft_votes,cert_votes,next_votes,pipelined_soft_votes,pipelined_cert_votes,late_soft_votes,late_cert_votes,late_next_votes,soft_unique_senders,cert_unique_senders,soft_total_unique_senders,cert_total_unique_senders,soft_periods,cert_periods,round_duration_ms,in_peers,out_peers,bundle_votes,soft_unique_amplification_on_time,soft_unique_amplification_total,soft_message_amplification_on_time,soft_message_amplification_total,soft_duplication_on_time,soft_duplication_total,soft_total_messages,cert_unique_amplification_on_time,cert_unique_amplification_total,cert_message_amplification_on_time,cert_message_amplification_total,cert_duplication_on_time,cert_duplication_total,cert_total_messages,next_unique_amplification_on_time,next_unique_amplification_total,next_message_amplification_on_time,next_message_amplification_total,next_duplication_on_time,next_duplication_total,next_total_messages
55874383,6,328,157,0,0,0,324,178,0,328,157,487,267,1,1,2977,0,24,149,0.1096989966555184,0.162876254180602,0.1096989966555184,0.2180602006688963,1.0,1.3388090349075976,652.0,0.10466666666666667,0.178,0.10466666666666667,0.22333333333333333,1.0,1.2546816479400749,335.0,0.0,0.0,0.0,0.0,,,0.0
55874384,3,329,128,0,0,0,337,187,0,329,128,488,246,1,1,2663,0,24,128,0.11003344481605351,0.16321070234113713,0.11003344481605351,0.22274247491638796,1.0,1.3647540983606556,666.0,0.08533333333333333,0.164,0.08533333333333333,0.21,1.0,1.2804878048780488,315.0,0.0,0.0,0.0,0.0,,,0.0
55874385,6,297,136,0,0,0,346,198,0,297,136,483,255,1,1,2937,0,32,136,0.09933110367892976,0.16153846153846155,0.09933110367892976,0.21505016722408027,1.0,1.3312629399585922,643.0,0.09066666666666667,0.17,0.09066666666666667,0.22266666666666668,1.0,1.3098039215686275,334.0,0.0,0.0,0.0,0.0,,,0.0
55874386,5,323,150,0,0,0,316,184,0,323,150,484,261,1,1,2943,0,38,136,0.10802675585284281,0.16187290969899665,0.10802675585284281,0.2137123745819398,1.0,1.3202479338842976,639.0,0.1,0.174,0.1,0.22266666666666668,1.0,1.2796934865900382,334.0,0.0,0.0,0.0,0.0,,,0.0
55874387,2,316,129,0,0,0,328,209,0,316,129,481,270,1,1,2632,0,38,108,0.10568561872909699,0.1608695652173913,0.10568561872909699,0.2153846153846154,1.0,1.338877338877339,644.0,0.086,0.18,0.086,0.22533333333333333,1.0,1.2518518518518518,338.0,0.0,0.0,0.0,0.0,,,0.0
55874388,2,340,129,0,0,0,328,209,0,340,129,494,271,1,1,2879,0,38,123,0.11371237458193979,0.16521739130434782,0.11371237458193979,0.2234113712374582,1.0,1.3522267206477734,668.0,0.086,0.18066666666666667,0.086,0.22533333333333333,1.0,1.2472324723247232,338.0,0.0,0.0,0.0,0.0,,,0.0
55874389,4,317,153,0,0,0,373,201,0,317,153,512,282,1,1,2998,0,47,151,0.1060200668896321,0.17123745819397992,0.1060200668896321,0.23076923076923078,1.0,1.34765625,690.0,0.102,0.188,0.102,0.236,1.0,1.2553191489361701,354.0,0.0,0.0,0.0,0.0,,,0.0
55874390,3,311,125,0,0,0,331,221,0,311,125,488,281,1,1,2836,0,47,125,0.1040133779264214,0.16321070234113713,0.1040133779264214,0.21471571906354514,1.0,1.3155737704918034,642.0,0.08333333333333333,0.18733333333333332,0.08333333333333333,0.23066666666666666,1.0,1.2313167259786477,346.0,0.0,0.0,0.0,0.0,,,0.0
55874391,6,354,135,0,0,0,334,198,0,354,135,510,270,1,1,2726,0,47,134,0.11839464882943143,0.1705685618729097,0.11839464882943143,0.23010033444816053,1.0,1.3490196078431373,688.0,0.09,0.18,0.09,0.222,1.0,1.2333333333333334,333.0,0.0,0.0,0.0,0.0,,,0.0
55874392,5,323,142,0,0,0,369,198,0,323,142,511,275,1,1,2853,0,47,140,0.10802675585284281,0.17090301003344482,0.10802675585284281,0.231438127090301,1.0,1.3542074363992171,692.0,0.09466666666666666,0.18333333333333332,0.09466666666666666,0.22666666666666666,1.0,1.2363636363636363,340.0,0.0,0.0,0.0,0.0,,,0.0
55874393,9,341,129,0,0,0,345,187,0,341,129,508,256,1,1,2646,0,46,128,0.11404682274247492,0.16989966555183947,0.11404682274247492,0.2294314381270903,1.0,1.3503937007874016,686.0,0.086,0.17066666666666666,0.086,0.21066666666666667,1.0,1.234375,316.0,0.0,0.0,0.0,0.0,,,0.0
55874394,9,314,133,0,0,0,357,186,0,314,133,496,259,1,1,2924,0,46,132,0.10501672240802676,0.16588628762541807,0.10501672240802676,0.22441471571906355,1.0,1.3528225806451613,671.0,0.08866666666666667,0.17266666666666666,0.08866666666666667,0.21266666666666667,1.0,1.2316602316602316,319.0,0.0,0.0,0.0,0.0,,,0.0
55874395,11,302,116,0,0,0,337,172,0,302,116,480,228,1,1,2757,0,46,116,0.10100334448160535,0.1605351170568562,0.10100334448160535,0.2137123745819398,1.0,1.33125,639.0,0.07733333333333334,0.152,0.07733333333333334,0.192,1.0,1.263157894736842,288.0,0.0,0.0,0.0,0.0,,,0.0
55874396,6,339,130,0,0,0,335,178,0,339,130,513,241,1,1,2830,0,46,103,0.11337792642140468,0.17157190635451505,0.11337792642140468,0.2254180602006689,1.0,1.3138401559454191,674.0,0.08666666666666667,0.16066666666666668,0.08666666666666667,0.20533333333333334,1.0,1.2780082987551866,308.0,0.0,0.0,0.0,0.0,,,0.0
