round,step,period,category,proposal_block_digest,proposal_encoding_digest,proposal_original_period,proposal_original_proposer,unique_senders,total_messages
55874383,1,0,late,548fa50f2ca19db2b1a05a930d4c4cb70098d5086aebc255a94569cad051eece,282b8aa423ac76d1c60370c43ee46c20665e15dafac5adaea4e9f8b431cd50fe,0,UDYUM7BGCA2FR3EXUGJDB2OCY64HS2SH5PQQJPCMLQZ6BOXCQLCSY2SITE,324,324
55874383,2,0,late,548fa50f2ca19db2b1a05a930d4c4cb70098d5086aebc255a94569cad051eece,282b8aa423ac76d1c60370c43ee46c20665e15dafac5adaea4e9f8b431cd50fe,0,UDYUM7BGCA2FR3EXUGJDB2OCY64HS2SH5PQQJPCMLQZ6BOXCQLCSY2SITE,178,178
55874383,1,0,on_time,7b1e6c3c1e2b8d1037663502269b2367cd7b869d7077b1a70c1cb50f64bdfe7a,c170d5b563bac2586ececf7d4c49911a6c636162a5fddbbb186e98bae05a803c,0,FKDXPRVUHAJKVDDAROMO4W3P256I46Y5J3LYPK3COYEBXRJEETB27DZZMA,328,328
55874383,2,0,on_time,7b1e6c3c1e2b8d1037663502269b2367cd7b869d7077b1a70c1cb50f64bdfe7a,c170d5b563bac2586ececf7d4c49911a6c636162a5fddbbb186e98bae05a803c,0,FKDXPRVUHAJKVDDAROMO4W3P256I46Y5J3LYPK3COYEBXRJEETB27DZZMA,157,157
55874384,1,0,late,7b1e6c3c1e2b8d1037663502269b2367cd7b869d7077b1a70c1cb50f64bdfe7a,c170d5b563bac2586ececf7d4c49911a6c636162a5fddbbb186e98bae05a803c,0,FKDXPRVUHAJKVDDAROMO4W3P256I46Y5J3LYPK3COYEBXRJEETB27DZZMA,337,337
55874384,2,0,late,7b1e6c3c1e2b8d1037663502269b2367cd7b869d7077b1a70c1cb50f64bdfe7a,c170d5b563bac2586ececf7d4c49911a6c636162a5fddbbb186e98bae05a803c,0,FKDXPRVUHAJKVDDAROMO4W3P256I46Y5J3LYPK3COYEBXRJEETB27DZZMA,187,187
55874384,1,0,on_time,df351d204ccbd10d6fb92e71a69fe91e95f18ff72cd032c705ce555d981c000c,14685f4584f76faf65b90cb6553696614f32e3d7236394518bb0462ee606d025,0,644QQ67PMAIWVZ4VKV6A5GNGWHF3YO5YCDRJA5ABS4ECQ75RZBEUGSDNTY,329,329
55874384,2,0,on_time,df351d204ccbd10d6fb92e71a69fe91e95f18ff72cd032c705ce555d981c000c,14685f4584f76faf65b90cb6553696614f32e3d7236394518bb0462ee606d025,0,644QQ67PMAIWVZ4VKV6A5GNGWHF3YO5YCDRJA5ABS4ECQ75RZBEUGSDNTY,128,128
55874385,1,0,late,df351d204ccbd10d6fb92e71a69fe91e95f18ff72cd032c705ce555d981c000c,14685f4584f76faf65b90cb6553696614f32e3d7236394518bb0462ee606d025,0,644QQ67PMAIWVZ4VKV6A5GNGWHF3YO5YCDRJA5ABS4ECQ75RZBEUGSDNTY,346,346
55874385,1,0,on_time,92b87a39737966ba59552d09fa1d03a433c96b830ade82b057eba5cc7c09c08a,03a4634f0fdba5b22a736d7acb8037be7c1ebd7c32f428dbe1ed09c8cae3d027,0,4TPMQLUIBMQ6ILR4FSBEWJACEOYJVYZ7PWL333KL47DHVT6TJHH55E5WWE,297,297
