round,proposals,soft_votes,cert_votes,next_votes,pipelined_soft_votes,pipelined_cert_votes,late_soft_votes,late_cert_votes,late_next_votes,round_duration_ms,in_peers,out_peers,bundle_votes
55868476,0,324,165,0,0,0,0,0,0,2324,0,36,115
55868477,4,308,155,0,0,0,276,165,0,2927,0,49,116
55868478,7,311,169,0,0,0,320,195,0,2845,0,48,145
55868479,7,326,144,0,0,0,332,197,0,2573,0,48,140
55868480,7,310,157,0,0,0,338,190,0,2870,0,48,128
55868481,7,326,160,0,0,0,318,208,0,2827,0,48,124
55868482,6,330,146,0,0,0,338,205,0,2851,0,48,145
55868483,6,295,140,0,0,0,347,177,0,2885,0,48,115
55868484,9,314,134,0,0,0,304,198,0,2609,0,48,120
55868485,8,344,131,0,0,0,318,178,0,2883,0,48,115
55868486,6,310,144,0,0,0,363,174,0,2807,0,48,133
55868487,10,288,117,0,0,0,326,183,0,2629,0,48,112
55868488,7,334,158,0,0,0,304,190,0,2876,0,48,136
55868489,5,313,143,0,0,0,350,206,0,2811,0,48,143
55868490,7,324,156,0,0,0,319,196,0,2957,0,48,156
55868491,6,293,140,0,0,0,330,191,0,2610,0,48,139
55868492,9,308,117,0,0,0,308,192,0,2782,0,48,99
55868493,10,354,164,0,0,0,329,165,0,3095,0,48,163
55868494,5,300,129,0,0,0,353,210,0,2541,0,48,129
55868495,9,312,136,0,0,0,311,190,0,2835,0,48,134
55868496,7,302,154,0,0,0,327,195,0,2827,0,48,154
55868497,7,317,127,0,0,0,314,182,0,2813,0,48,105
55868498,9,312,135,0,0,0,326,172,0,2662,0,48,135
55868499,6,303,146,0,0,0,336,181,0,2750,0,48,112
55868500,4,306,150,0,0,0,313,189,0,2928,0,48,125
55868501,9,301,126,0,0,0,324,189,0,2668,0,48,120
55868502,7,292,124,0,0,0,333,177,0,2723,0,48,123
55868503,6,301,133,0,0,0,311,184,0,2929,0,48,108
55868504,8,292,138,0,0,0,318,188,0,2751,0,48,136
55868505,8,327,129,0,0,0,305,177,0,2916,0,48,124
55868506,9,329,153,0,0,0,339,181,0,2785,0,48,139
55868507,7,280,122,0,0,0,341,194,0,2603,0,48,116
55868508,4,330,165,0,0,0,307,187,0,2995,0,48,156
55868509,7,319,137,0,0,0,346,217,0,2690,0,48,127
55868510,5,311,155,0,0,0,335,192,0,2846,0,48,152
55868511,3,318,142,0,0,0,322,201,0,2759,0,48,117
55868512,5,324,157,0,0,0,335,191,0,2789,0,48,134
55868513,6,307,136,0,0,0,341,189,0,2773,0,48,136
55868514,7,279,120,0,0,0,326,204,0,2682,0,48,109
55868515,3,279,140,0,0,0,305,185,0,2900,0,48,140
55868516,8,307,136,0,0,0,302,199,0,2749,0,48,127
55868517,6,294,140,0,0,0,319,186,0,2798,0,48,140
55868518,4,307,133,0,0,0,315,189,0,2693,0,47,130
55868519,7,318,137,0,0,0,327,189,0,2814,0,47,123
55868520,7,308,159,0,0,0,333,204,0,2857,0,47,159
55868521,5,331,147,0,0,0,316,212,0,2780,0,47,142
55868522,3,312,153,0,0,0,344,200,0,2778,0,47,153
55868523,8,329,145,0,0,0,331,205,0,2779,0,47,137
55868524,7,299,130,0,0,0,346,192,0,2879,0,47,97
55868525,9,302,142,0,0,0,315,179,0,2825,0,47,125
55868526,7,324,164,0,0,0,318,193,0,3050,0,47,135
55868527,8,340,152,0,0,0,334,203,0,2589,0,47,141
55868528,8,293,145,0,0,0,366,216,0,2763,0,47,126
55868529,9,324,137,0,0,0,315,193,0,2840,0,47,124
55868530,9,313,169,0,0,0,349,194,0,2822,0,47,144
55868531,11,298,137,0,0,0,325,208,0,2628,0,47,98
55868532,6,327,152,0,0,0,307,158,0,2830,0,47,144
55868533,12,315,163,0,0,0,336,188,0,2759,0,47,163
55868534,7,306,146,0,0,0,330,209,0,2766,0,47,138
55868535,7,297,133,0,0,0,324,191,0,2901,0,48,132
55868536,10,315,139,0,0,0,312,189,0,2781,0,48,139
55868537,6,302,133,0,0,0,322,180,0,2703,0,48,123
55868538,9,319,142,0,0,0,318,193,0,2779,0,48,138
55868539,7,300,168,0,0,0,330,178,0,2841,0,48,148
55868540,7,314,163,0,0,0,324,207,0,2995,0,48,150
55868541,6,284,136,0,0,0,313,194,0,2511,0,48,115
55868542,3,327,149,0,0,0,302,201,0,2884,0,48,137
55868543,4,281,151,0,0,0,342,200,0,2764,0,48,136
55868544,8,325,142,0,0,0,289,200,0,2817,0,48,141
55868545,7,300,130,0,0,0,333,178,0,2953,0,48,130
55868546,9,304,136,0,0,0,318,176,0,2422,0,48,136
55868547,8,290,125,0,0,0,323,204,0,2727,0,48,125
55868548,5,306,118,0,0,0,315,187,0,2738,0,48,114
55868549,4,283,131,0,0,0,330,178,0,2779,0,48,103
55868550,9,307,114,0,0,0,318,200,0,2757,0,48,106
55868551,8,282,127,0,0,0,330,194,0,2784,0,48,109
55868552,8,322,120,0,0,0,313,182,0,2938,0,48,120
55868553,10,286,128,0,0,0,345,182,0,2562,0,48,125
55868554,10,347,140,0,0,0,312,196,0,2976,0,48,140
55868555,11,307,142,0,0,0,354,187,0,2857,0,48,142
55868556,8,307,135,0,0,0,320,196,0,2755,0,48,132
55868557,11,305,123,0,0,0,316,190,0,2571,0,48,97
55868558,5,308,153,0,0,0,316,180,0,3015,0,48,139
55868559,9,283,123,0,0,0,323,200,0,2498,0,48,115
55868560,7,296,107,0,0,0,306,207,0,2715,0,48,96
55868561,6,281,113,0,0,0,324,176,0,2740,0,48,113
55868562,8,275,143,0,0,0,308,169,0,2816,0,47,122
55868563,11,291,131,0,0,0,305,202,0,2720,0,47,130
55868564,7,290,109,0,0,0,316,192,0,2735,0,47,79
55868565,6,304,134,0,0,0,331,163,0,2871,0,47,134
55868566,7,312,126,0,0,0,322,196,0,2631,0,47,109
55868567,9,267,123,0,0,0,336,189,0,2745,0,47,109
55868568,2,317,139,0,0,0,293,171,0,2901,0,47,128
55868569,8,292,145,0,0,0,327,184,0,2723,0,47,112
55868570,9,314,132,0,0,0,308,202,0,2856,0,47,126
55868571,10,285,119,0,0,0,332,186,0,2678,0,47,117
55868572,9,307,132,0,0,0,302,189,0,2756,0,47,111
55868573,3,301,121,0,0,0,326,181,0,2808,0,47,101
55868574,10,306,147,0,0,0,319,170,0,2730,0,47,113
55868575,7,325,111,0,0,0,323,205,0,2724,0,47,99
55868576,7,308,146,0,0,0,348,185,0,2799,0,47,145
55868577,7,328,116,0,0,0,320,196,0,2831,0,47,116
55868578,5,305,134,0,0,0,354,181,0,2881,0,47,111
55868579,9,277,128,0,0,0,327,190,0,2659,0,47,128
55868580,8,285,132,0,0,0,290,201,0,2562,0,47,130
55868581,6,305,132,0,0,0,314,182,0,2916,0,47,129
55868582,7,249,108,0,0,0,322,197,0,2635,0,47,94
55868583,5,293,101,0,0,0,292,182,0,2668,0,47,87
55868584,6,313,166,0,0,0,319,169,0,3072,0,46,166
55868585,6,297,115,0,0,0,320,201,0,2819,0,46,86
55868586,5,341,144,0,0,0,311,173,0,2773,0,46,144
55868587,6,293,135,0,0,0,351,185,0,2605,0,46,127
55868588,6,303,132,0,0,0,307,191,0,2921,0,46,127
55868589,14,283,128,0,0,0,319,189,0,2680,0,46,127
55868590,4,322,120,0,0,0,312,189,0,2768,0,46,117
55868591,7,296,128,0,0,0,345,178,0,2934,0,46,128
55868592,6,294,139,0,0,0,311,183,0,2771,0,46,137
55868593,6,286,119,0,0,0,307,181,0,2653,0,46,115
